Date,WC (m3/d),Max Temp (C),Min Temp (C),Mean Temp (C),Total Precip (mm),Population
1/1/2011,35668.34,7.5,1.6,4.55,1.8,76445
1/2/2011,37427.86,8.4,-2.6,2.9,1.6,
1/3/2011,36471.84,-1.2,-6.1,-3.65,0.2,
1/4/2011,35633.05,-3.4,-9.3,-6.35,1.4,
1/5/2011,35587.29,-3.4,-9,-6.2,0.3,
1/6/2011,35533.76,-5,-11.3,-8.15,0.2,
1/7/2011,35032.56,-4,-8,-6,0.5,
1/8/2011,35298.87,-3.1,-9,-6.05,0.2,
1/9/2011,36082.81,-2.8,-8.9,-5.85,1.4,
1/10/2011,36628.83,-6.9,-9.7,-8.3,0,
1/11/2011,35207.75,-6.9,-8.8,-7.85,0,
1/12/2011,34264.88,-4.4,-9.2,-6.8,0,
1/13/2011,35373.78,-6.1,-9.5,-7.8,0,
1/14/2011,35390.07,-6.8,-11.2,-9,0,
1/15/2011,35981.64,-7.8,-14.9,-11.35,4,
1/16/2011,37186.67,-9.7,-19,-14.35,0.8,
1/17/2011,35703.03,-13.7,-23.4,-18.55,0.6,
1/18/2011,35364.59,0.1,-15.4,-7.65,1.8,
1/19/2011,35276.91,-3.9,-10.2,-7.05,0,
1/20/2011,35665.76,-9.6,-12.4,-11,0,
1/21/2011,36009.33,-8.2,-15.7,-11.95,1.5,
1/22/2011,36606.89,-13.2,-19.2,-16.2,0.2,
1/23/2011,36695.81,-16.6,-25.8,-21.2,0,
1/24/2011,36280.74,-16.9,-27.9,-22.4,0.2,
1/25/2011,35271.05,-12.5,-18.3,-15.4,0.6,
1/26/2011,36255.07,-7.2,-17.7,-12.45,0.3,
1/27/2011,36615.08,-3.1,-8.7,-5.9,0,
1/28/2011,35441.79,-1.7,-6.9,-4.3,0.8,
1/29/2011,36809.91,-4.4,-11.5,-7.95,2.3,
1/30/2011,37130.4,-8.5,-16.4,-12.45,0.5,
1/31/2011,36048,-15.2,-20.9,-18.05,0,
2/1/2011,35241.28,-11.8,-16.4,-14.1,0.8,
2/2/2011,34778.22,-10.6,-13.1,-11.85,10.5,
2/3/2011,35224.29,-5.7,-15.2,-10.45,0.2,
2/4/2011,35446.93,-3.1,-10,-6.55,0,
2/5/2011,36002.44,1.3,-6.5,-2.6,7.1,
